taxon,trophicMode,guild,confidenceRanking,functional_group,name
Tortispora,Pathotroph-Saprotroph,|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,tortispora
Gorgonomyces,Saprotroph,|Pollen Saprotroph|,Probable,Other saprotroph,gorgonomyces
Enterospora,Pathotroph,|Animal Parasite|,Probable,NA,enterospora
Trachipleistophora,Pathotroph,|Animal Parasite|,Probable,NA,trachipleistophora
Vavraia,Pathotroph,|Animal Parasite|,Probable,NA,vavraia
Amphiamblys,Pathotroph,|Protist Parasite|,Probable,NA,amphiamblys
Nematocida,Pathotroph,|Animal Parasite|,Probable,NA,nematocida
Antonospora,Pathotroph,|Animal Parasite|,Probable,NA,antonospora
Ordospora,Pathotroph,|Animal Parasite|,Probable,NA,ordospora
Vittaforma,Pathotroph,|Animal Parasite|,Probable,NA,vittaforma
Encephalitozoon,Pathotroph,|Animal Parasite|,Probable,NA,encephalitozoon
